"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "JSON", "comment", "blank", "total"
"c:\Programming\AI-Transcriptor\skriptor\src\app\(auth)\forget-password\loading.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 5, 26
"c:\Programming\AI-Transcriptor\skriptor\src\app\(auth)\forget-password\page.tsx", "TypeScript JSX", 0, 126, 0, 0, 2, 18, 146
"c:\Programming\AI-Transcriptor\skriptor\src\app\(auth)\layout.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 2, 7
"c:\Programming\AI-Transcriptor\skriptor\src\app\(auth)\loading.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 9, 44
"c:\Programming\AI-Transcriptor\skriptor\src\app\(auth)\reset-password\loading.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 5, 28
"c:\Programming\AI-Transcriptor\skriptor\src\app\(auth)\reset-password\page.tsx", "TypeScript JSX", 0, 170, 0, 0, 5, 21, 196
"c:\Programming\AI-Transcriptor\skriptor\src\app\(auth)\sign-in\loading.tsx", "TypeScript JSX", 0, 41, 0, 0, 0, 9, 50
"c:\Programming\AI-Transcriptor\skriptor\src\app\(auth)\sign-in\page.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 2, 7
"c:\Programming\AI-Transcriptor\skriptor\src\app\(auth)\sign-up\loading.tsx", "TypeScript JSX", 0, 46, 0, 0, 0, 10, 56
"c:\Programming\AI-Transcriptor\skriptor\src\app\(auth)\sign-up\page.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 2, 7
"c:\Programming\AI-Transcriptor\skriptor\src\app\(landing)\tos\page.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 2, 6
"c:\Programming\AI-Transcriptor\skriptor\src\app\api\auth\[...all]\route.ts", "TypeScript", 3, 0, 0, 0, 0, 2, 5
"c:\Programming\AI-Transcriptor\skriptor\src\app\dashboard\loading.tsx", "TypeScript JSX", 0, 29, 0, 0, 5, 5, 39
"c:\Programming\AI-Transcriptor\skriptor\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 3, 8
"c:\Programming\AI-Transcriptor\skriptor\src\app\globals.css", "CSS", 0, 0, 117, 0, 0, 6, 123
"c:\Programming\AI-Transcriptor\skriptor\src\app\layout.tsx", "TypeScript JSX", 0, 40, 0, 0, 0, 5, 45
"c:\Programming\AI-Transcriptor\skriptor\src\app\manifest.json", "JSON", 0, 0, 0, 21, 0, 0, 21
"c:\Programming\AI-Transcriptor\skriptor\src\app\page.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 2, 6
"c:\Programming\AI-Transcriptor\skriptor\src\app\settings\layout.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 2, 15
"c:\Programming\AI-Transcriptor\skriptor\src\app\settings\page.tsx", "TypeScript JSX", 0, 4, 0, 0, 1, 2, 7
"c:\Programming\AI-Transcriptor\skriptor\src\app\settings\profile\page.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 3, 8
"c:\Programming\AI-Transcriptor\skriptor\src\components\google-svg.tsx", "TypeScript JSX", 0, 30, 0, 0, 0, 1, 31
"c:\Programming\AI-Transcriptor\skriptor\src\components\logo.tsx", "TypeScript JSX", 0, 12, 0, 0, 0, 2, 14
"c:\Programming\AI-Transcriptor\skriptor\src\components\mode-toggle.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 4, 31
"c:\Programming\AI-Transcriptor\skriptor\src\components\recent-transcriptions.tsx", "TypeScript JSX", 0, 68, 0, 0, 0, 3, 71
"c:\Programming\AI-Transcriptor\skriptor\src\components\theme-provider.tsx", "TypeScript JSX", 0, 9, 0, 0, 0, 3, 12
"c:\Programming\AI-Transcriptor\skriptor\src\components\theme-toggle.tsx", "TypeScript JSX", 0, 29, 0, 0, 1, 6, 36
"c:\Programming\AI-Transcriptor\skriptor\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 59, 0, 0, 0, 8, 67
